SEL              | 72h | ns  |  7.1 | No Reading
Pwr Consumption  | 77h | ok  |  7.1 | 98 Watts
Power Optimized  | 76h | ok  |  7.1 | 
SD1              | F4h | ns  | 11.3 | Disabled
SD2              | F5h | ns  | 11.3 | Disabled
Redundancy       | 78h | ns  | 11.3 | Disabled
ECC Corr Err     | 01h | ns  | 34.1 | No Reading
ECC Uncorr Err   | 02h | ns  | 34.1 | No Reading
I/O Channel Chk  | 03h | ns  | 34.1 | No Reading
PCI Parity Err   | 04h | ns  | 34.1 | No Reading
PCI System Err   | 05h | ns  | 34.1 | No Reading
SBE Log Disabled | 06h | ns  | 34.1 | No Reading
Logging Disabled | 07h | ns  | 34.1 | No Reading
Unknown          | 08h | ns  | 34.1 | No Reading
CPU Protocol Err | 0Ah | ns  | 34.1 | No Reading
CPU Bus PERR     | 0Bh | ns  | 34.1 | No Reading
CPU Init Err     | 0Ch | ns  | 34.1 | No Reading
CPU Machine Chk  | 0Dh | ns  | 34.1 | No Reading
Memory Spared    | 11h | ns  | 34.1 | No Reading
Memory Mirrored  | 12h | ns  | 34.1 | No Reading
Memory RAID      | 13h | ns  | 34.1 | No Reading
Memory Added     | 14h | ns  | 34.1 | No Reading
Memory Removed   | 15h | ns  | 34.1 | No Reading
Memory Cfg Err   | 16h | ns  | 34.1 | No Reading
Mem Redun Gain   | 17h | ns  | 34.1 | No Reading
PCIE Fatal Err   | 18h | ns  | 34.1 | No Reading
Chipset Err      | 19h | ns  | 34.1 | No Reading
Err Reg Pointer  | 1Ah | ns  | 34.1 | No Reading
Mem ECC Warning  | 1Bh | ns  | 34.1 | No Reading
Mem CRC Err      | 1Ch | ns  | 34.1 | No Reading
USB Over-current | 1Dh | ns  | 34.1 | No Reading
POST Err         | 1Eh | ns  | 34.1 | No Reading
Hdwr version err | 1Fh | ns  | 34.1 | No Reading
Mem Overtemp     | 20h | ns  | 34.1 | No Reading
Mem Fatal SB CRC | 21h | ns  | 34.1 | No Reading
Mem Fatal NB CRC | 22h | ns  | 34.1 | No Reading
OS Watchdog Time | 71h | ns  | 34.1 | No Reading
Non Fatal PCI Er | 26h | ns  | 34.1 | No Reading
Fatal IO Error   | 27h | ns  | 34.1 | No Reading
MSR Info Log     | 28h | ns  | 34.1 | No Reading
TXT Status       | 2Ah | ns  | 34.1 | No Reading
Drive 0          | A0h | ok  |  7.1 | Drive Present
Cable SAS A      | E0h | ok  | 26.1 | Connected
Cable SAS B      | E1h | ok  | 26.1 | Connected
Cable SAS C      | E2h | ns  | 26.1 | Disabled
Cable SAS D      | E3h | ns  | 26.1 | Disabled
Cable SAS A      | E4h | ns  | 26.2 | Disabled
Cable SAS B      | E5h | ns  | 26.2 | Disabled
Cable SAS C      | E6h | ns  | 26.2 | Disabled
Cable SAS D      | E7h | ns  | 26.2 | Disabled
Power Cable      | 58h | ok  | 26.1 | Connected
Signal Cable     | 59h | ok  | 26.1 | Connected
Power Cable      | 5Ah | ns  | 26.2 | Disabled
Signal Cable     | 5Bh | ns  | 26.2 | Disabled
Fan7A RPM        | 3Ch | ok  |  7.1 | 2520 RPM
Fan1B RPM        | 31h | ok  |  7.1 | 2280 RPM
Fan2B RPM        | 33h | ok  |  7.1 | 2280 RPM
Fan3B RPM        | 35h | ok  |  7.1 | 2520 RPM
Fan4B RPM        | 37h | ok  |  7.1 | 2160 RPM
Fan5B RPM        | 39h | ok  |  7.1 | 2520 RPM
Fan6B RPM        | 3Bh | ok  |  7.1 | 2400 RPM
Fan7B RPM        | 3Dh | ok  |  7.1 | 2640 RPM
PFault Fail Safe | 66h | ns  |  7.1 | No Reading
A                | C0h | ok  | 32.1 | Presence Detected
B                | CCh | ok  | 32.1 | Presence Detected
